,X,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_dose_temp_food,NO3_mean_observed,NH4_mean_observed,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged,NO3_category
98,10,08_20_22,2,B,2,1,B3,B3,-0.00465,-0.050002608,0.050002608,N_1.5_20_S_S,N_1.5_20_S,3.57675,7.60225,N_1.5_20_S_S,S_S,N_1.5,N,Nitrate,1.5,20,S,S,G27Y59,2B,G27Y59_exp2B,225,107,0,Low
99,19,08_15_22,2,A,2,0,C5,C5,-0.00159,-0.050092879,0.050092879,A_7.5_30_F_S,A_7.5_30_F,2.424,14.952,A_7.5_30_F_S,F_S,A_7.5,A,Ammonium,7.5,30,F,S,Y20B17,2A,Y20B17_exp2A,198,91,0,Low
100,18,08_20_22,2,B,2,0,B5,B5,-0.00256,-0.050182969,0.050182969,A_7.5_30_F_A,A_7.5_30_F,2.424,14.952,A_7.5_30_F_A,F_A,A_7.5,A,Ammonium,7.5,30,F,A,Y17B87,2B,Y17B87_exp2B,171,126,0,Low
101,6,09_05_22,3,B,2,0,B2,B2,-0.0057,-0.050214155,0.050214155,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,O5G2,3B,O5G2_exp3B,238,175,0,Low
102,20,08_15_22,2,A,2,1,D5,D5,-0.00316,-0.050275385,0.050275385,A_7.5_30_F_S,A_7.5_30_F,2.424,14.952,A_7.5_30_F_S,F_S,A_7.5,A,Ammonium,7.5,30,F,S,Y20B21,2A,Y20B21_exp2A,221,91,0,Low
103,15,08_15_22,2,A,3,0,C4,C4,-0.00168,-0.050408161,0.050408161,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10_30_S_A,S_A,A_10,A,Ammonium,10,30,S,A,R21W95,2A,R21W95_exp2A,226,88,0,Low
104,20,09_05_22,3,B,1,1,D5,D5,-0.00403,-0.050414523,0.050414523,A_5_20_F_A,A_5_20_F,2.518,13.433,A_5_20_F_A,F_A,A_5,A,Ammonium,5,20,F,A,O10G15,3B,O10G15_exp3B,244,162,0,Low
105,13,09_05_22,3,B,1,0,A4,A4,-0.00536,-0.05076774,0.05076774,N_0_20_S_A,N_0_20_S,3.13625,5.73675,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,O2B7,3B,O2B7_exp3B,238,169,0,Low
106,7,08_20_22,2,B,2,0,C2,C2,-0.00413,-0.050798893,0.050798893,N_1.5_20_F_S,N_1.5_20_F,4.4475,3.631,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,G25Y47,2B,G25Y47_exp2B,171,105,0,Low
107,8,7_26_22,1,A,3,0,D2,D2,-0.00237,-0.050806969,0.050806969,N_5_30_S_S,N_5_30_S,6.857,15.961,N_5_30_S_S,S_S,N_5,N,Nitrate,5,30,S,S,Y14B77,1A,Y14B77_exp1A,152,28,0,Elevated
108,16,09_01_22,3,A,2,0,D4,D4,-0.00239,-0.050906681,0.050906681,A_7.5_20_S_A,A_7.5_20_S,2.461,13.123,A_7.5_20_S_A,S_A,A_7.5,A,Ammonium,7.5,20,S,A,Y7B40,3A,Y7B40_exp3A,236,159,0,Low
109,4,7_26_22,1,B,2,1,D1,D1,-0.00186,-0.050957932,0.050957932,A_5_30_S_A,A_5_30_S,3.08375,19.91575,A_5_30_S_A,S_A,A_5,A,Ammonium,5,30,S,A,Y12B64,1B,Y12B64_exp1B,187,56,0,Low
110,13,09_05_22,3,B,2,0,A4,A4,-0.00196,-0.051208852,0.051208852,N_1.5_30_S_S,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_S,S_S,N_1.5,N,Nitrate,1.5,30,S,S,W7O34,3B,W7O34_exp3B,252,191,0,Elevated
111,20,7_26_22,1,B,1,1,D5,D5,-0.00174,-0.051365621,0.051365621,A_5_20_F_A,A_5_20_F,2.518,13.433,A_5_20_F_A,F_A,A_5,A,Ammonium,5,20,F,A,G35Y14,1B,G35Y14_exp1B,178,46,0,Low
112,21,7_26_22,1,A,1,1,A6,A6,-0.0028,-0.051504402,0.051504402,A_5_20_F_S,A_5_20_F,2.518,13.433,A_5_20_F_S,F_S,A_5,A,Ammonium,5,20,F,S,G36Y28,1A,G36Y28_exp1A,155,15,0,Low
113,10,7_26_22,1,B,3,1,B3,B3,-0.00317,-0.051573327,0.051573327,A_10_20_F_S,A_10_20_F,3.503,12.384,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R13W67,1B,R13W67_exp1B,176,51,0,Low
114,15,7_26_22,1,B,1,0,C4,C4,-0.00138,-0.051749498,0.051749498,N_0_30_F_A,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B29G64,1B,B29G64_exp1B,164,39,0,Low
115,16,08_20_22,2,B,1,0,D4,D4,-0.00223,-0.051867893,0.051867893,N_0_30_F_S,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G80,2B,B31G80_exp2B,206,101,0,Low
116,22,09_01_22,3,A,3,0,B6,B6,-0.00229,-0.052111178,0.052111178,N_18_30_F_S,N_18_30_F,11.664,8.8355,N_18_30_F_S,F_S,N_18,N,Nitrate,18,30,F,S,R14W73,3A,R14W73_exp3A,239,149,0,Elevated
117,8,7_26_22,1,A,2,0,D2,D2,-0.00222,-0.052184399,0.052184399,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5_20_S_A,S_A,N_1.5,N,Nitrate,1.5,20,S,A,G31Y82,1A,G31Y82_exp1A,150,13,0,Low
118,10,08_15_22,2,A,1,1,B3,B3,-0.00297,-0.052223721,0.052223721,A_0_30_S_A,A_0_30_S,2.871,12.99825,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B29G65,2A,B29G65_exp2A,221,72,0,Low
119,13,08_20_22,2,B,2,0,A4,A4,-0.00289,-0.052383209,0.052383209,N_1.5_30_S_S,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_S,S_S,N_1.5,N,Nitrate,1.5,30,S,S,G28Y64,2B,G28Y64_exp2B,188,108,0,Elevated
120,15,08_15_22,2,A,2,0,C4,C4,-0.00252,-0.052395757,0.052395757,A_7.5_20_F_S,A_7.5_20_F,3.24,11.789,A_7.5_20_F_S,F_S,A_7.5,A,Ammonium,7.5,20,F,S,Y7B43,2A,Y7B43_exp2A,198,95,0,Low
121,15,09_01_22,3,A,3,1,C4,C4,-0.00394,-0.052499874,0.052499874,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10_30_S_A,S_A,A_10,A,Ammonium,10,30,S,A,R21W97,3A,R21W97_exp3A,238,152,0,Low
122,21,08_20_22,2,B,1,0,A6,A6,-0.00376,-0.052814245,0.052814245,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5_20_S_A,S_A,A_5,A,Ammonium,5,20,S,A,G37Y29,2B,G37Y29_exp2B,171,112,0,Low
123,8,09_01_22,3,A,1,0,D2,D2,-0.00305,-0.052846542,0.052846542,A_0_30_F_S,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B28G62,3A,B28G62_exp3A,240,135,0,Low
124,5,09_01_22,3,A,2,0,A2,A2,-0.00659,-0.053233623,0.053233623,A_5_30_S_S,A_5_30_S,3.08375,19.91575,A_5_30_S_S,S_S,A_5,A,Ammonium,5,30,S,S,G38Y38,3A,G38Y38_exp3A,241,144,0,Low
125,5,7_26_22,1,A,1,1,A2,A2,-0.00385,-0.053697984,0.053697984,A_0_20_F_S,A_0_20_F,3.023,4.275,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B24G42,1A,B24G42_exp1A,155,3,0,Low
126,24,09_05_22,3,B,3,1,D6,D6,NA,-0.05378537,0.05378537,N_18_30_S_S,N_18_30_S,17.905,15.95375,N_18_30_S_S,S_S,N_18,N,Nitrate,18,30,S,S,W16O77,3B,W16O77_exp3B,243,184,0,Elevated
127,18,7_26_22,1,A,1,1,B5,B5,-0.00244,-0.053819186,0.053819186,N_0_30_S_A,N_0_30_S,3.325,13.65775,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B30G72,1A,B30G72_exp1A,162,5,0,Low
128,21,09_01_22,3,A,1,0,A6,A6,-0.00382,-0.053920334,0.053920334,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5_20_S_A,S_A,A_5,A,Ammonium,5,20,S,A,G32Y87,3A,G32Y87_exp3A,236,140,0,Low
129,12,09_05_22,3,B,2,1,D3,D3,-0.00266,-0.053923926,0.053923926,N_1.5_30_F_S,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_S,F_S,N_1.5,N,Nitrate,1.5,30,F,S,W5O28,3B,W5O28_exp3B,256,190,0,Low
130,7,7_26_22,1,B,1,0,C2,C2,-0.00317,-0.053979666,0.053979666,A_0_30_F_A,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B13G2,1B,B13G2_exp1B,167,33,0,Low
131,11,09_05_22,3,B,1,0,C3,C3,-0.00456,-0.053992089,0.053992089,N_0_20_F_A,N_0_20_F,1.214,4.6815,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,O1B1,3B,O1B1_exp3B,238,161,0,Low
132,19,7_26_22,1,B,3,0,C5,C5,-0.00233,-0.054008466,0.054008466,N_18_20_S_A,N_18_20_S,13.03475,9.2295,N_18_20_S_A,S_A,N_18,N,Nitrate,18,20,S,A,R11W51,1B,R11W51_exp1B,171,50,0,Elevated
133,8,7_26_22,1,B,1,1,D2,D2,-0.00234,-0.054029232,0.054029232,A_0_30_F_A,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B13G8,1B,B13G8_exp1B,184,33,0,Low
134,17,7_26_22,1,B,3,0,A5,A5,-0.00568,-0.054043364,0.054043364,N_18_20_F_A,N_18_20_F,10.9255,4.173,N_18_20_F_A,F_A,N_18,N,Nitrate,18,20,F,A,R10W45,1B,R10W45_exp1B,163,49,0,Elevated
135,18,08_15_22,2,A,2,0,B5,B5,-0.00269,-0.054060883,0.054060883,A_7.5_30_F_A,A_7.5_30_F,2.424,14.952,A_7.5_30_F_A,F_A,A_7.5,A,Ammonium,7.5,30,F,A,Y20B100,2A,Y20B100_exp2A,232,91,0,Low
136,23,08_15_22,2,A,3,0,C6,C6,-0.00328,-0.054394773,0.054394773,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18_30_S_A,S_A,N_18,N,Nitrate,18,30,S,A,R15W75,2A,R15W75_exp2A,194,86,0,Elevated
137,18,7_26_22,1,A,2,0,B5,B5,-0.00227,-0.054938458,0.054938458,A_7.5_30_F_A,A_7.5_30_F,2.424,14.952,A_7.5_30_F_A,F_A,A_7.5,A,Ammonium,7.5,30,F,A,Y15B82,1A,Y15B82_exp1A,145,29,0,Low
138,23,7_26_22,1,A,1,0,C6,C6,-0.00504,-0.054986563,0.054986563,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5_30_F_A,F_A,A_5,A,Ammonium,5,30,F,A,G32Y88,1A,G32Y88_exp1A,145,14,0,Low
139,24,09_01_22,3,A,1,1,D6,D6,-0.00513,-0.055065087,0.055065087,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5_30_F_A,F_A,A_5,A,Ammonium,5,30,F,A,G35Y12,3A,G35Y12_exp3A,235,143,0,Low
140,13,7_26_22,1,A,3,0,A4,A4,-0.00502,-0.055268065,0.055268065,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10_30_F_A,F_A,A_10,A,Ammonium,10,30,F,A,R12W57,1A,R12W57_exp1A,146,17,0,Low
141,4,7_26_22,1,A,2,0,D1,D1,-0.00376,-0.055828538,0.055828538,A_5_30_S_A,A_5_30_S,3.08375,19.91575,A_5_30_S_A,S_A,A_5,A,Ammonium,5,30,S,A,G37Y29,1A,G37Y29_exp1A,155,16,0,Low
142,11,08_20_22,2,B,2,1,C3,C3,-0.00219,-0.055942573,0.055942573,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_A,F_A,N_1.5,N,Nitrate,1.5,30,F,A,G26Y51,2B,G26Y51_exp2B,196,106,0,Low
143,16,7_26_22,1,A,1,0,D4,D4,-0.00437,-0.056036216,0.056036216,N_0_30_F_S,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B27G57,1A,B27G57_exp1A,153,4,0,Low
144,21,08_20_22,2,B,2,0,A6,A6,-0.00216,-0.056703251,0.056703251,A_7.5_30_S_S,A_7.5_30_S,3.125,19.2815,A_7.5_30_S_S,S_S,A_7.5,A,Ammonium,7.5,30,S,S,Y21B2759,2B,Y21B2759_exp2B,200,127,0,Low
145,11,7_26_22,1,B,1,1,C3,C3,-0.0011,-0.056790744,0.056790744,A_0_30_S_A,A_0_30_S,2.871,12.99825,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B25G45,1B,B25G45_exp1B,187,36,0,Low
146,19,7_26_22,1,B,2,1,C5,C5,-0.00398,-0.056825857,0.056825857,A_7.5_30_F_S,A_7.5_30_F,2.424,14.952,A_7.5_30_F_S,F_S,A_7.5,A,Ammonium,7.5,30,F,S,Y3B29,1B,Y3B29_exp1B,181,60,0,Low
147,24,08_15_22,2,A,3,0,D6,D6,-0.00191,-0.05687305,0.05687305,N_18_30_S_S,N_18_30_S,17.905,15.95375,N_18_30_S_S,S_S,N_18,N,Nitrate,18,30,S,S,R15W78,2A,R15W78_exp2A,193,86,0,Elevated
148,22,08_15_22,2,A,3,0,B6,B6,-0.00155,-0.057006346,0.057006346,N_18_30_F_S,N_18_30_F,11.664,8.8355,N_18_30_F_S,F_S,N_18,N,Nitrate,18,30,F,S,R14W73,2A,R14W73_exp2A,193,85,0,Elevated
149,18,08_15_22,2,A,1,1,B5,B5,-0.00219,-0.057115553,0.057115553,N_0_30_S_A,N_0_30_S,3.325,13.65775,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G49,2A,B26G49_exp2A,206,70,0,Low
150,4,09_01_22,3,A,2,1,D1,D1,-0.00594,-0.057164025,0.057164025,A_5_30_F_S,A_5_30_F,2.6645,10.267,A_5_30_F_S,F_S,A_5,A,Ammonium,5,30,F,S,G35Y23,3A,G35Y23_exp3A,240,143,0,Low
151,11,08_20_22,2,B,1,1,C3,C3,-0.00392,-0.057410265,0.057410265,A_0_30_S_S,A_0_30_S,2.871,12.99825,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B34G3409,2B,B34G3409_exp2B,233,104,0,Low
152,9,08_20_22,2,B,2,1,A3,A3,-0.00225,-0.057497234,0.057497234,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5_20_S_A,S_A,N_1.5,N,Nitrate,1.5,20,S,A,G27Y56,2B,G27Y56_exp2B,206,107,0,Low
153,18,09_05_22,3,B,2,0,B5,B5,-0.00238,-0.057606518,0.057606518,A_7.5_30_F_A,A_7.5_30_F,2.424,14.952,A_7.5_30_F_A,F_A,A_7.5,A,Ammonium,7.5,30,F,A,W13O56,3B,W13O56_exp3B,242,181,0,Low
154,17,08_20_22,2,B,1,1,A5,A5,-0.00467,-0.057669903,0.057669903,N_0_30_F_S,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G82,2B,B31G82_exp2B,223,101,0,Low
155,6,7_26_22,1,A,2,0,B2,B2,-0.00469,-0.058067404,0.058067404,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G29Y71,1A,G29Y71_exp1A,150,12,0,Low
156,21,09_05_22,3,B,1,1,A6,A6,-0.00477,-0.058091086,0.058091086,A_5_20_F_S,A_5_20_F,2.518,13.433,A_5_20_F_S,F_S,A_5,A,Ammonium,5,20,F,S,O10G21,3B,O10G21_exp3B,243,162,0,Low
157,20,7_26_22,1,A,2,0,D5,D5,-0.00579,-0.058328524,0.058328524,A_7.5_30_S_A,A_7.5_30_S,3.125,19.2815,A_7.5_30_S_A,S_A,A_7.5,A,Ammonium,7.5,30,S,A,Y21B9940,1A,Y21B9940_exp1A,158,32,0,Low
158,5,09_05_22,3,B,2,0,A2,A2,-0.00484,-0.058555129,0.058555129,A_5_30_S_S,A_5_30_S,3.08375,19.91575,A_5_30_S_S,S_S,A_5,A,Ammonium,5,30,S,S,W10O44,3B,W10O44_exp3B,255,178,0,Low
159,24,09_05_22,3,B,1,0,D6,D6,-0.00596,-0.058769414,0.058769414,A_5_30_F_S,A_5_30_F,2.6645,10.267,A_5_30_F_S,F_S,A_5,A,Ammonium,5,30,F,S,W8O38,3B,W8O38_exp3B,248,192,0,Low
160,14,09_05_22,3,B,3,1,B4,B4,-0.00814,-0.058776497,0.058776497,A_10_30_F_S,A_10_30_F,2.017,22.001,A_10_30_F_S,F_S,A_10,A,Ammonium,10,30,F,S,W17O83,3B,W17O83_exp3B,249,185,0,Low
161,21,7_26_22,1,A,2,0,A6,A6,-0.00273,-0.058912672,0.058912672,A_7.5_30_S_S,A_7.5_30_S,3.125,19.2815,A_7.5_30_S_S,S_S,A_7.5,A,Ammonium,7.5,30,S,S,Y21B6232,1A,Y21B6232_exp1A,153,32,0,Low
162,12,09_01_22,3,A,2,0,D3,D3,-0.00196,-0.058971408,0.058971408,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_A,S_A,N_1.5,N,Nitrate,1.5,30,S,A,G34Y5,3A,G34Y5_exp3A,237,142,0,Elevated
163,5,09_01_22,3,A,1,0,A2,A2,-0.00293,-0.059052104,0.059052104,A_0_20_S_A,A_0_20_S,1.605,5.6645,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B24G38,3A,B24G38_exp3A,235,132,0,Low
164,24,09_05_22,3,B,1,1,D6,D6,-0.00617,-0.059093275,0.059093275,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5_30_F_A,F_A,A_5,A,Ammonium,5,30,F,A,W8O37,3B,W8O37_exp3B,245,192,0,Low
165,5,7_26_22,1,B,1,1,A2,A2,-0.00201,-0.059218376,0.059218376,A_0_20_F_S,A_0_20_F,3.023,4.275,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B26G52,1B,B26G52_exp1B,173,37,0,Low
166,24,7_26_22,1,A,1,1,D6,D6,NA,-0.059277214,0.059277214,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5_30_F_A,F_A,A_5,A,Ammonium,5,30,F,A,G32Y87,1A,G32Y87_exp1A,160,14,0,Low
167,7,09_05_22,3,B,1,1,C2,C2,-0.0069,-0.059452658,0.059452658,A_0_20_S_S,A_0_20_S,1.605,5.6645,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,O4B25,3B,O4B25_exp3B,250,174,0,Low
168,12,08_15_22,2,A,2,0,D3,D3,-0.00214,-0.059504617,0.059504617,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_A,S_A,N_1.5,N,Nitrate,1.5,30,S,A,G34Y3,2A,G34Y3_exp2A,193,78,0,Elevated
169,20,08_20_22,2,B,1,0,D5,D5,-0.00422,-0.059562156,0.059562156,A_5_20_F_S,A_5_20_F,2.518,13.433,A_5_20_F_S,F_S,A_5,A,Ammonium,5,20,F,S,G36Y26,2B,G36Y26_exp2B,191,111,0,Low
170,4,08_15_22,2,A,3,0,D1,D1,-0.00333,-0.059721938,0.059721938,N_5_20_S_S,N_5_20_S,5.87925,8.4235,N_5_20_S_S,S_S,N_5,N,Nitrate,5,20,S,S,Y4B33,2A,Y4B33_exp2A,186,94,0,Low
171,22,08_20_22,2,B,2,1,B6,B6,-0.00287,-0.059867696,0.059867696,A_7.5_30_S_S,A_7.5_30_S,3.125,19.2815,A_7.5_30_S_S,S_S,A_7.5,A,Ammonium,7.5,30,S,S,Y21B5431,2B,Y21B5431_exp2B,234,127,0,Low
172,14,09_05_22,3,B,2,1,B4,B4,-0.00496,-0.059992101,0.059992101,N_1.5_30_S_S,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_S,S_S,N_1.5,N,Nitrate,1.5,30,S,S,W7O35,3B,W7O35_exp3B,243,191,0,Elevated
173,5,7_26_22,1,B,2,0,A2,A2,-0.00471,-0.060021205,0.060021205,A_5_30_S_S,A_5_30_S,3.08375,19.91575,A_5_30_S_S,S_S,A_5,A,Ammonium,5,30,S,S,Y12B65,1B,Y12B65_exp1B,167,56,0,Low
174,7,7_26_22,1,A,2,0,C2,C2,-0.00448,-0.060048299,0.060048299,N_1.5_20_F_S,N_1.5_20_F,4.4475,3.631,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,G29Y73,1A,G29Y73_exp1A,147,12,0,Low
175,9,08_20_22,2,B,1,1,A3,A3,-0.00502,-0.060145569,0.060145569,A_0_30_F_S,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B33G95,2B,B33G95_exp2B,226,103,0,Low
176,10,7_26_22,1,B,1,1,B3,B3,-0.00439,-0.060279868,0.060279868,A_0_30_S_S,A_0_30_S,2.871,12.99825,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B25G47,1B,B25G47_exp1B,182,36,0,Low
177,6,09_05_22,3,B,3,1,B2,B2,-0.00472,-0.060314205,0.060314205,N_5_30_F_S,N_5_30_F,5.8445,11.501,N_5_30_F_S,F_S,N_5,N,Nitrate,5,30,F,S,W11O49,3B,W11O49_exp3B,246,179,0,Low
178,17,09_05_22,3,B,1,1,A5,A5,-0.0051,-0.060432821,0.060432821,N_0_30_F_S,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W1O4,3B,W1O4_exp3B,245,177,0,Low
179,24,7_26_22,1,A,2,1,D6,D6,NA,-0.060657881,0.060657881,N_5_20_S_A,N_5_20_S,5.87925,8.4235,N_5_20_S_A,S_A,N_5,N,Nitrate,5,20,S,A,Y10B50,1A,Y10B50_exp1A,168,26,0,Low
180,11,09_01_22,3,A,2,1,C3,C3,-0.00407,-0.060803233,0.060803233,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_A,F_A,N_1.5,N,Nitrate,1.5,30,F,A,G33Y1,3A,G33Y1_exp3A,226,141,0,Low
181,22,08_15_22,2,A,2,1,B6,B6,-0.00227,-0.061492714,0.061492714,A_7.5_30_S_S,A_7.5_30_S,3.125,19.2815,A_7.5_30_S_S,S_S,A_7.5,A,Ammonium,7.5,30,S,S,Y23B1927,2A,Y23B1927_exp2A,233,92,0,Low
182,7,09_05_22,3,B,1,0,C2,C2,-0.00442,-0.06151389,0.06151389,A_0_30_F_A,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,W3O13,3B,W3O13_exp3B,242,188,0,Low
183,15,7_26_22,1,B,3,0,C4,C4,-0.00175,-0.061659438,0.061659438,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10_30_S_A,S_A,A_10,A,Ammonium,10,30,S,A,R15W75,1B,R15W75_exp1B,169,53,0,Low
184,7,7_26_22,1,A,1,1,C2,C2,-0.00378,-0.061849482,0.061849482,A_0_20_S_S,A_0_20_S,1.605,5.6645,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B34G3310,1A,B34G3310_exp1A,153,8,0,Low
185,22,09_05_22,3,B,1,0,B6,B6,-0.0037,-0.06211029,0.06211029,A_5_20_S_S,A_5_20_S,3.4665,11.236,A_5_20_S_S,S_S,A_5,A,Ammonium,5,20,S,S,O11G24,3B,O11G24_exp3B,248,163,0,Low
186,6,08_20_22,2,B,2,0,B2,B2,-0.00513,-0.062114904,0.062114904,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G25Y45,2B,G25Y45_exp2B,157,105,0,Low
187,7,09_05_22,3,B,2,0,C2,C2,-0.00338,-0.062290549,0.062290549,N_1.5_20_F_S,N_1.5_20_F,4.4475,3.631,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,O5G5,3B,O5G5_exp3B,245,175,0,Low
188,14,7_26_22,1,B,3,0,B4,B4,-0.00315,-0.062342832,0.062342832,A_10_30_F_S,A_10_30_F,2.017,22.001,A_10_30_F_S,F_S,A_10,A,Ammonium,10,30,F,S,R1W6,1B,R1W6_exp1B,167,48,0,Low
189,15,09_05_22,3,B,1,1,C4,C4,-0.0052,-0.06259847,0.06259847,N_0_20_S_S,N_0_20_S,3.13625,5.73675,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,O2B11,3B,O2B11_exp3B,252,169,0,Low
190,14,7_26_22,1,A,2,1,B4,B4,-0.00281,-0.062696415,0.062696415,A_7.5_20_F_A,A_7.5_20_F,3.24,11.789,A_7.5_20_F_A,F_A,A_7.5,A,Ammonium,7.5,20,F,A,Y11B55,1A,Y11B55_exp1A,153,27,0,Low
191,13,09_05_22,3,B,1,1,A4,A4,-0.00328,-0.062743848,0.062743848,N_0_20_F_S,N_0_20_F,1.214,4.6815,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,O1B5,3B,O1B5_exp3B,256,161,0,Low
192,24,08_20_22,2,B,2,1,D6,D6,-0.00248,-0.062798534,0.062798534,N_5_20_F_S,N_5_20_F,7.0775,5.2485,N_5_20_F_S,F_S,N_5,N,Nitrate,5,20,F,S,Y1B12,2B,Y1B12_exp2B,223,121,0,Elevated
193,8,09_05_22,3,B,3,1,D2,D2,-0.00402,-0.062915585,0.062915585,N_5_30_S_S,N_5_30_S,6.857,15.961,N_5_30_S_S,S_S,N_5,N,Nitrate,5,30,S,S,W12O55,3B,W12O55_exp3B,243,180,0,Elevated
194,10,09_01_22,3,A,2,0,B3,B3,-0.00212,-0.063278597,0.063278597,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_A,F_A,N_1.5,N,Nitrate,1.5,30,F,A,G33Y94,3A,G33Y94_exp3A,237,141,0,Low
195,6,7_26_22,1,A,3,1,B2,B2,-0.00456,-0.063307962,0.063307962,N_5_30_F_S,N_5_30_F,5.8445,11.501,N_5_30_F_S,F_S,N_5,N,Nitrate,5,30,F,S,Y2B24,1A,Y2B24_exp1A,153,31,0,Low
196,24,7_26_22,1,B,2,1,D6,D6,-0.00572,-0.063307991,0.063307991,N_5_20_S_A,N_5_20_S,5.87925,8.4235,N_5_20_S_A,S_A,N_5,N,Nitrate,5,20,S,A,Y13B72,1B,Y13B72_exp1B,184,57,0,Low
